"taper_ratio"	"alphaRange"	"sweep"	"twist"	"AR"	"2y/b"	"cl/CL"
1	10	0	0	7.28	0.9670630659721645	0.5218636180122389
1	10	0	0	7.28	0.9713763597141513	0.49974092255832736
1	10	0	0	7.28	0.9752024319772413	0.47417481415697016
1	10	0	0	7.28	0.978516493611561	0.44789391692296565
1	10	0	0	7.28	0.982841324787684	0.425685108642325
1	10	0	0	7.28	0.9855133390349092	0.40294789647429496
1	10	0	0	7.28	0.9879978533338857	0.3742869521367551
1	10	0	0	7.28	0.9909647652667787	0.34861166037168845
1	10	0	0	7.28	0.9927643948283505	0.32374419617069417
1	10	0	0	7.28	0.9949048924615401	0.2952508591006522
1	10	0	0	7.28	0.9966632551734725	0.26592418687949104
1	10	0	0	7.28	0.9978249651337657	0.24954082640433572
0.6	10	0	0	7.28	0.02216077231432287	1.0082436306395592
0.6	10	0	0	7.28	0.038787927156911456	1.0119215977047258
0.6	10	0	0	7.28	0.06760025299790681	1.018357160163434
0.6	10	0	0	7.28	0.08593478991880546	1.022196136952274
0.6	10	0	0	7.28	0.12522648085609953	1.0319255854325942
0.6	10	0	0	7.28	0.13915940419504155	1.0357592775154312
0.6	10	0	0	7.28	0.15578433427541236	1.038453009775428
0.6	10	0	0	7.28	0.18808421265926042	1.0435227396651796
0.6	10	0	0	7.28	0.20412350052158743	1.0458787635602054
0.6	10	0	0	7.28	0.21863628676583272	1.0474933960516202
0.6	10	0	0	7.28	0.2544277456983829	1.0529792831602043
0.6	10	0	0	7.28	0.2736332775884802	1.056081664940817
0.6	10	0	0	7.28	0.28497990737029977	1.056988678455075
0.6	10	0	0	7.28	0.3225127783099735	1.060745698751565
0.6	10	0	0	7.28	0.3417162086318014	1.062918346729853
0.6	10	0	0	7.28	0.35393641947932886	1.0642328543315225
0.6	10	0	0	7.28	0.3853559742659385	1.0659121941847371
0.6	10	0	0	7.28	0.4021205967795576	1.0674356266599982
0.6	10	0	0	7.28	0.4159054214121741	1.0687206833182719
0.6	10	0	0	7.28	0.44562923593761483	1.069624378077254
0.6	10	0	0	7.28	0.46463148031397294	1.06984618432649
0.6	10	0	0	7.28	0.48026150590948136	1.0686061450056186
0.6	10	0	0	7.28	0.5078983283475325	1.0683781318674799
0.6	10	0	0	7.28	0.5249856524323923	1.0677187139443807
0.6	10	0	0	7.28	0.5441832028103352	1.0672900747479193
0.6	10	0	0	7.28	0.5602123137722265	1.065143837890228
0.6	10	0	0	7.28	0.6017549092886739	1.0567382415696538
0.6	10	0	0	7.28	0.6198896554337223	1.0527916764073328
0.6	10	0	0	7.28	0.6375084829457596	1.0476996311666344
0.6	10	0	0	7.28	0.6750068976769621	1.0339772764816064
0.6	10	0	0	7.28	0.694188611793341	1.0265426751692046
0.6	10	0	0	7.28	0.7090096885047785	1.0202859328194527
0.6	10	0	0	7.28	0.7464936687937435	1.0024137292424142
0.6	10	0	0	7.28	0.7656643496767087	0.9900980254678069
0.6	10	0	0	7.28	0.800512204456357	0.9641982047142957
0.6	10	0	0	7.28	0.8170619670115095	0.9505825408605941
0.6	10	0	0	7.28	0.8449205661457725	0.9211541776426762
0.6	10	0	0	7.28	0.8597164598980721	0.9037564941703834
0.6	10	0	0	7.28	0.8805861086147225	0.8709346212545866
0.6	10	0	0	7.28	0.8918857658438569	0.85106097746093
