"taper_ratio"	"alphaRange"	"sweep"	"AR"	"2y/b"	"cl/CL"
1	10	7.28	7	0.3700000000000002	1.125583578023625
1	10	7.28	7	0.3900000000000002	1.12224096572221
1	10	7.28	7	0.41000000000000025	1.118474354774749
1	10	7.28	7	0.4300000000000002	1.1142604567904657
1	10	7.28	7	0.4500000000000003	1.1095725471555655
1	10	7.28	7	0.47000000000000025	1.104380044279829
1	10	7.28	7	0.4900000000000003	1.0986480200097928
1	10	7.28	7	0.5100000000000003	1.0923366250612299
1	10	7.28	7	0.5300000000000004	1.0854004103279733
1	10	7.28	7	0.5500000000000004	1.077787520791477
1	10	7.28	7	0.5700000000000004	1.0694387331836357
1	10	7.28	7	0.5900000000000004	1.0602863010862633
1	10	7.28	7	0.6100000000000002	1.050252561100026
1	10	7.28	7	0.6300000000000002	1.0392482400570107
1	10	7.28	7	0.6500000000000001	1.0271703844232714
1	10	7.28	7	0.6700000000000002	1.0138998066196159
1	10	7.28	7	0.6900000000000001	0.9992979051416883
1	10	7.28	7	0.7100000000000001	0.9832026598436453
1	10	7.28	7	0.7299999999999999	0.9654235201458956
1	10	7.28	7	0.75	0.9457347743399647
1	10	7.28	7	0.7699999999999998	0.9238667808736718
1	10	7.28	7	0.7899999999999999	0.8994940993062885
1	10	7.28	7	0.8099999999999997	0.8722189684302641
1	10	7.28	7	0.8299999999999998	0.8415475197938026
1	10	7.28	7	0.8499999999999996	0.8068541175724567
1	10	7.28	7	0.8699999999999998	0.7673252219700251
1	10	7.28	7	0.8899999999999996	0.7218655902764982
1	10	7.28	7	0.9099999999999996	0.6689294200737467
1	10	7.28	7	0.9299999999999995	0.6061854068553215
1	10	7.28	7	0.9499999999999995	0.5297570165095762
1	10	7.28	7	0.9699999999999994	0.43211221333584837
1	10	7.28	7	0.9899999999999994	0.2936961935274841
1	10	7.28	5	0.01	1.163791654586355
1	10	7.28	5	0.030000000000000006	1.164578555440263
1	10	7.28	5	0.05	1.1654250945468327
1	10	7.28	5	0.07	1.1661632185855992
1	10	7.28	5	0.09	1.1667177833314588
1	10	7.28	5	0.11000000000000001	1.167043815631514
1	10	7.28	5	0.12999999999999998	1.1671102469562002
1	10	7.28	5	0.15	1.1668937351394715
1	10	7.28	5	0.16999999999999998	1.1663755930649344
1	10	7.28	5	0.19	1.1655399820360548
1	10	7.28	5	0.20999999999999996	1.1643727314726844
1	10	7.28	5	0.22999999999999998	1.1628605101566636
1	10	7.28	5	0.25	1.160990210674374
1	10	7.28	5	0.27	1.1587484692276528
1	10	7.28	5	0.29000000000000004	1.1561212732484114
1	10	7.28	5	0.31000000000000005	1.1530936257004873
1	10	7.28	5	0.33000000000000007	1.1496492444236257
1	10	7.28	5	0.3500000000000001	1.145770280538056
1	10	7.28	5	0.3700000000000001	1.1414370433712144
1	10	7.28	5	0.3900000000000001	1.1366277214293605
1	10	7.28	5	0.41000000000000014	1.1313180900731792
1	10	7.28	5	0.43000000000000005	1.1254811970174277
1	10	7.28	5	0.4500000000000002	1.1190870166879339
1	10	7.28	5	0.4700000000000001	1.1121020638840184
1	10	7.28	5	0.4900000000000002	1.1044889561008642
1	10	7.28	5	0.5100000000000001	1.0962059122017842
1	10	7.28	5	0.5300000000000002	1.0872061727741407
1	10	7.28	5	0.5500000000000002	1.0774373242619046
1	10	7.28	5	0.5700000000000003	1.0668405045504674
1	10	7.28	5	0.5900000000000002	1.055349461649568
1	10	7.28	5	0.6100000000000003	1.0428894288279744
1	10	7.28	5	0.6300000000000002	1.0293757680202145
1	10	7.28	5	0.6500000000000004	1.0147123170579189
1	10	7.28	5	0.6700000000000003	0.9987893529614705
1	10	7.28	5	0.6900000000000004	0.981481049504172
1	10	7.28	5	0.7100000000000003	0.9626422566274058
1	10	7.28	5	0.7300000000000004	0.9421043522773557
1	10	7.28	5	0.7500000000000003	0.919669797249832
1	10	7.28	5	0.7700000000000005	0.8951048315334924
1	10	7.28	5	0.7900000000000004	0.8681294334073377
1	10	7.28	5	0.8100000000000003	0.8384031195341709
1	10	7.28	5	0.8300000000000003	0.8055041949271278
1	10	7.28	5	0.8500000000000002	0.768898242643829
1	10	7.28	5	0.8700000000000001	0.7278880179221959
1	10	7.28	5	0.89	0.6815291329287312
1	10	7.28	5	0.9099999999999999	0.6284776035086644
1	10	7.28	5	0.9299999999999999	0.5666866797201298
1	10	7.28	5	0.9499999999999998	0.49271808203533735
1	10	7.28	5	0.9699999999999998	0.3998259148143046
1	10	7.28	5	0.9899999999999997	0.2703429357358077
1	10	7.28	8	0.01	1.1158461163237443
1	10	7.28	8	0.03	1.1176254556681906
1	10	7.28	8	0.05	1.119658475473849
1	10	7.28	8	0.07	1.1216562275681465
1	10	7.28	8	0.09	1.1234948972304335
1	10	7.28	8	0.11000000000000001	1.1251086407901292
1	10	7.28	8	0.13	1.1264603048738522
1	10	7.28	8	0.15000000000000002	1.1275286823752912
1	10	7.28	8	0.16999999999999998	1.1283017391270087
1	10	7.28	8	0.19	1.1287726374101288
1	10	7.28	8	0.20999999999999996	1.1289372629348495
1	10	7.28	8	0.22999999999999998	1.128792628520721
1	10	7.28	8	0.24999999999999994	1.128335814448859
1	10	7.28	8	0.26999999999999996	1.127563245801599
1	10	7.28	8	0.29	1.1264701826761279
1	10	7.28	8	0.31	1.1250503428552492
1	10	7.28	8	0.33	1.123295603079128
1	10	7.28	8	0.35000000000000003	1.1211957417084426
1	10	7.28	8	0.37000000000000005	1.1187381961283642
1	10	7.28	8	0.39000000000000007	1.1159078148771613
1	10	7.28	8	0.4100000000000001	1.1126865884747141
1	10	7.28	8	0.4300000000000001	1.1090533450529385
1	10	7.28	8	0.4500000000000001	1.1049833976221672
1	10	7.28	8	0.47000000000000014	1.1004481294121804
1	10	7.28	8	0.4900000000000001	1.0954145023261381
1	10	7.28	8	0.5100000000000001	1.089844471147905
1	10	7.28	8	0.5300000000000001	1.0836942826516593
1	10	7.28	8	0.5500000000000002	1.0769136339719165
1	10	7.28	8	0.5700000000000002	1.0694446581668176
1	10	7.28	8	0.5900000000000002	1.0612206963409159
1	10	7.28	8	0.6100000000000002	1.052164804236714
