"taper_ratio"	"alphaRange"	"sweep"	"AR"	"2y/b"	"cl/CL"
0.4	10	0	7.28	0.36999999999999994	0.9192291673825224
0.4	10	0	7.28	0.3899999999999999	0.9217740424962774
0.4	10	0	7.28	0.4099999999999999	0.9241150307998657
0.4	10	0	7.28	0.4299999999999999	0.9262464914706116
0.4	10	0	7.28	0.4499999999999999	0.9281605995811514
0.4	10	0	7.28	0.46999999999999986	0.9298470890293302
0.4	10	0	7.28	0.4899999999999999	0.9312929217312773
0.4	10	0	7.28	0.5099999999999999	0.9324818673992197
0.4	10	0	7.28	0.5299999999999999	0.933393972905858
0.4	10	0	7.28	0.5499999999999999	0.9340048932497395
0.4	10	0	7.28	0.57	0.9342850467761775
0.4	10	0	7.28	0.5899999999999999	0.9341985445678314
0.4	10	0	7.28	0.6099999999999999	0.9337018263263376
0.4	10	0	7.28	0.6299999999999999	0.9327419104333634
0.4	10	0	7.28	0.6499999999999999	0.9312541308972268
0.4	10	0	7.28	0.6699999999999999	0.9291591834660011
0.4	10	0	7.28	0.6899999999999998	0.9263592293285013
0.4	10	0	7.28	0.7099999999999999	0.9227326947337205
0.4	10	0	7.28	0.7299999999999999	0.9181272375719272
0.4	10	0	7.28	0.7499999999999999	0.9123500922492753
0.4	10	0	7.28	0.7699999999999998	0.9051545911410509
0.4	10	0	7.28	0.7899999999999998	0.8962209857099658
0.4	10	0	7.28	0.8099999999999998	0.8851285511282394
0.4	10	0	7.28	0.8299999999999998	0.8713139632671486
0.4	10	0	7.28	0.8499999999999998	0.8540072845349643
0.4	10	0	7.28	0.8699999999999998	0.8321298328383603
0.4	10	0	7.28	0.8899999999999998	0.8041235758456242
0.4	10	0	7.28	0.9099999999999998	0.767648515340758
0.4	10	0	7.28	0.9299999999999998	0.718999568771124
0.4	10	0	7.28	0.9499999999999997	0.6518366522563687
0.4	10	0	7.28	0.9699999999999998	0.5538179013585125
0.4	10	0	7.28	0.9899999999999998	0.39382790985946975
0.6	10	0	7.28	0.01	0.8609354413183046
0.6	10	0	7.28	0.03	0.8664906293639927
0.6	10	0	7.28	0.049999999999999996	0.871427813903112
0.6	10	0	7.28	0.07	0.87590615670697
0.6	10	0	7.28	0.09	0.8800016648818987
0.6	10	0	7.28	0.10999999999999999	0.8837617230611019
0.6	10	0	7.28	0.12999999999999998	0.8872190322712606
0.6	10	0	7.28	0.14999999999999997	0.8903973258696488
0.6	10	0	7.28	0.16999999999999996	0.8933142959573884
0.6	10	0	7.28	0.18999999999999997	0.8959832597372934
0.6	10	0	7.28	0.20999999999999996	0.8984141688991432
0.6	10	0	7.28	0.22999999999999995	0.9006142451386785
0.6	10	0	7.28	0.24999999999999994	0.9025883881484924
0.6	10	0	7.28	0.26999999999999996	0.9043394365017147
0.6	10	0	7.28	0.29	0.9058683274776799
0.6	10	0	7.28	0.30999999999999994	0.9071741828334117
0.6	10	0	7.28	0.32999999999999996	0.9082543363826727
0.6	10	0	7.28	0.3499999999999999	0.9091043123495968
0.6	10	0	7.28	0.36999999999999994	0.9097177589062224
0.6	10	0	7.28	0.3899999999999999	0.9100863380294818
0.6	10	0	7.28	0.4099999999999999	0.9101995702071104
0.6	10	0	7.28	0.4299999999999999	0.910044630194654
0.6	10	0	7.28	0.4499999999999999	0.9096060877032726
0.6	10	0	7.28	0.46999999999999986	0.908865584357001
0.6	10	0	7.28	0.4899999999999999	0.9078014352837188
0.6	10	0	7.28	0.5099999999999999	0.9063881400576617
0.6	10	0	7.28	0.5299999999999999	0.904595783098521
0.6	10	0	7.28	0.5499999999999999	0.9023892976661929
0.6	10	0	7.28	0.57	0.8997275597415437
0.6	10	0	7.28	0.5899999999999999	0.8965622676087052
0.6	10	0	7.28	0.6099999999999999	0.8928365487880107
0.6	10	0	7.28	0.6299999999999999	0.8884832165572097
0.6	10	0	7.28	0.6499999999999999	0.8834225713371336
0.6	10	0	7.28	0.6699999999999999	0.8775596042241655
0.6	10	0	7.28	0.6899999999999998	0.8707804055597492
0.6	10	0	7.28	0.7099999999999999	0.8629475021846655
0.6	10	0	7.28	0.7299999999999999	0.8538937292852719
0.6	10	0	7.28	0.7499999999999999	0.8434140638301763
0.6	10	0	7.28	0.7699999999999998	0.8312545676090786
0.6	10	0	7.28	0.7899999999999998	0.8170971394542665
0.6	10	0	7.28	0.8099999999999998	0.800538029078969
0.6	10	0	7.28	0.8299999999999998	0.7810567653530539
0.6	10	0	7.28	0.8499999999999998	0.7579697703009245
0.6	10	0	7.28	0.8699999999999998	0.730358279435264
0.6	10	0	7.28	0.8899999999999998	0.6969503684320799
0.6	10	0	7.28	0.9099999999999998	0.6559140272110203
0.6	10	0	7.28	0.9299999999999998	0.6044579741848407
0.6	10	0	7.28	0.9499999999999997	0.5379494108103765
0.6	10	0	7.28	0.9699999999999998	0.44751545144260363
0.6	10	0	7.28	0.9899999999999998	0.31069005099127867
0	10	0	7.28	0.01	0.7641301842877913
0	10	0	7.28	0.03	0.77680035992623
0	10	0	7.28	0.049999999999999996	0.7883842505229176
0	10	0	7.28	0.07	0.7992107611340971
0	10	0	7.28	0.09	0.8094374630348661
0	10	0	7.28	0.10999999999999999	0.8191653861432453
0	10	0	7.28	0.12999999999999998	0.8284668194112585
0	10	0	7.28	0.14999999999999997	0.8373968076941837
